Channel:Channel1
Capture Time:2025-01-14 13:43:34.429
Length:39300
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.929999872,2.4
-3.929799872,2.4
-3.929599872,1.6
-3.929399872,1.6
-3.929199872,1.6
-3.928999872,1.6
-3.928799872,1.6
-3.928599872,2.4
-3.928399872,1.6
-3.928199872,1.6
-3.927999872,0.8
-3.927799872,2.4
-3.927599872,1.6
-3.927399872,1.6
-3.927199872,1.6
-3.926999872,1.6
-3.926799872,0.8
-3.926599872,1.6
-3.926399872,1.6
-3.926199872,0.8
-3.925999872,0.8
-3.925799872,0.8
-3.925599872,0.8
-3.925399872,1.6
-3.925199872,0.8
-3.924999872,0.8
-3.924799872,0.8
-3.924599872,0.8
-3.924399872,0.8
-3.924199872,0.8
-3.923999872,0.8
-3.923799872,0.8
-3.923599872,0.8
-3.923399872,0
-3.923199872,0
-3.922999872,0
-3.922799872,0
-3.922599872,0
-3.922399872,0
-3.922199872,0
-3.921999872,0
-3.921799872,-0.8
-3.921599872,0
-3.921399872,0
-3.921199872,-0.8
-3.920999872,-0.8
-3.920799872,-0.8
-3.920599872,0
-3.920399872,-0.8
-3.920199872,-0.8
-3.919999872,-0.8
-3.919799872,-0.8
-3.919599872,-0.8
-3.919399872,-0.8
-3.919199872,-0.8
-3.918999872,-0.8
-3.918799872,-0.8
-3.918599872,-0.8
-3.918399872,-0.8
-3.918199872,-0.8
-3.917999872,-0.8
-3.917799872,-0.8
-3.917599872,-0.8
-3.917399872,-0.8
-3.917199872,-0.8
-3.916999872,-0.8
-3.916799872,-0.8
-3.916599872,-0.8
-3.916399872,0
-3.916199872,0
-3.915999872,-0.8
-3.915799872,0
-3.915599872,0
-3.915399872,0
-3.915199872,0
-3.914999872,0
-3.914799872,0
-3.914599872,0
-3.914399872,0
-3.914199872,0
-3.913999872,0
-3.913799872,0
-3.913599872,0
-3.913399872,0.8
-3.913199872,0.8
-3.912999872,0.8
-3.912799872,0.8
-3.912599872,0.8
-3.912399872,0.8
-3.912199872,0.8
-3.911999872,1.6
-3.911799872,1.6
-3.911599872,1.6
-3.911399872,1.6
-3.911199872,1.6
-3.910999872,2.4
-3.910799872,2.4
-3.910599872,2.4
-3.910399872,2.4
-3.910199872,2.4
-3.909999872,2.4
-3.909799872,1.6
-3.909599872,2.4
-3.909399872,1.6
-3.909199872,1.6
-3.908999872,1.6
-3.908799872,2.4
-3.908599872,1.6
-3.908399872,1.6
-3.908199872,1.6
-3.907999872,1.6
-3.907799872,2.4
-3.907599872,2.4
-3.907399872,1.6
-3.907199872,1.6
-3.906999872,1.6
-3.906799872,1.6
-3.906599872,1.6
-3.906399872,0.8
-3.906199872,0.8
-3.905999872,1.6
-3.905799872,1.6
-3.905599872,0.8
-3.905399872,0.8
-3.905199872,0.8
-3.904999872,0.8
-3.904799872,0.8
-3.904599872,0.8
-3.904399872,0.8
-3.904199872,0.8
-3.903999872,0.8
-3.903799872,0.8
-3.903599872,0.8
-3.903399872,0.8
-3.903199872,0
-3.902999872,0
-3.902799872,0
-3.902599872,0
-3.902399872,0
-3.902199872,0
-3.901999872,0
-3.901799872,0
-3.901599872,0
-3.901399872,0
-3.901199872,-0.8
-3.900999872,-0.8
-3.900799872,-0.8
-3.900599872,0
-3.900399872,0
-3.900199872,-0.8
-3.899999872,-0.8
-3.899799872,-0.8
-3.899599872,-0.8
-3.899399872,-0.8
-3.899199872,-0.8
-3.898999872,-1.6
-3.898799872,-0.8
-3.898599872,-0.8
-3.898399872,-0.8
-3.898199872,-0.8
-3.897999872,-0.8
-3.897799872,-0.8
-3.897599872,-0.8
-3.897399872,-0.8
-3.897199872,-0.8
-3.896999872,0
-3.896799872,12.8
-3.896599872,24.8
-3.896399872,27.2
-3.896199872,36
-3.895999872,36
-3.895799872,28.8
-3.895599872,24.8
-3.895399872,21.6
-3.895199872,16.8
-3.894999872,11.2
-3.894799872,0.8
-3.894599872,-6.4
-3.894399872,-9.6
-3.894199872,-10.4
-3.893999872,-11.2
-3.893799872,-12.8
-3.893599872,-13.6
-3.893399872,-12.8
-3.893199872,-12.8
-3.892999872,-12
-3.892799872,-10.4
-3.892599872,-9.6
-3.892399872,-8
-3.892199872,-6.4
-3.891999872,-6.4
-3.891799872,-5.6
-3.891599872,-4
-3.891399872,-3.2
-3.891199872,-3.2
-3.890999872,-2.4
-3.890799872,-2.4
-3.890599872,-2.4
-3.890399872,-2.4
-3.890199872,-1.6
-3.889999872,-0.8
-3.889799872,-0.8
-3.889599872,0
-3.889399872,0
-3.889199872,0
-3.888999872,0
-3.888799872,0
-3.888599872,0
-3.888399872,0.8
-3.888199872,0
-3.887999872,0.8
-3.887799872,0.8
-3.887599872,0.8
-3.887399872,0
-3.887199872,0.8
-3.886999872,0.8
-3.886799872,0
-3.886599872,0.8
-3.886399872,0.8
-3.886199872,0.8
-3.885999872,0.8
-3.885799872,0.8
-3.885599872,0.8
-3.885399872,0.8
-3.885199872,0.8
-3.884999872,0.8
-3.884799872,0
-3.884599872,0
-3.884399872,0
-3.884199872,0
-3.883999872,0
-3.883799872,0
-3.883599872,0
-3.883399872,0
-3.883199872,0
-3.882999872,0
-3.882799872,0
-3.882599872,0
-3.882399872,0
-3.882199872,0
-3.881999872,-0.8
-3.881799872,-0.8
-3.881599872,-0.8
-3.881399872,0
-3.881199872,-0.8
-3.880999872,-0.8
-3.880799872,-0.8
-3.880599872,-0.8
-3.880399872,-0.8
-3.880199872,-0.8
-3.879999872,-0.8
-3.879799872,-0.8
-3.879599872,-0.8
-3.879399872,-0.8
-3.879199872,-0.8
-3.878999872,-1.6
-3.878799872,-2.4
-3.878599872,-1.6
-3.878399872,-1.6
-3.878199872,-1.6
-3.877999872,-0.8
-3.877799872,-0.8
-3.877599872,-0.8
-3.877399872,-0.8
-3.877199872,-0.8
-3.876999872,-0.8
-3.876799872,0
-3.876599872,5.6
-3.876399872,12.8
-3.876199872,16
-3.875999872,19.2
-3.875799872,20
-3.875599872,19.2
-3.875399872,19.2
-3.875199872,20
-3.874999872,20.8
-3.874799872,19.2
-3.874599872,17.6
-3.874399872,15.2
-3.874199872,10.4
-3.873999872,7.2
-3.873799872,3.2
-3.873599872,0
-3.873399872,-1.6
-3.873199872,-3.2
-3.872999872,-3.2
-3.872799872,-4
-3.872599872,-4
-3.872399872,-4.8
-3.872199872,-4.8
-3.871999872,-5.6
-3.871799872,-5.6
-3.871599872,-5.6
-3.871399872,-6.4
-3.871199872,-5.6
-3.870999872,-4.8
-3.870799872,-4.8
-3.870599872,-3.2
-3.870399872,-3.2
-3.870199872,-2.4
-3.869999872,-0.8
-3.869799872,0
-3.869599872,0.8
-3.869399872,0.8
-3.869199872,2.4
-3.868999872,2.4
-3.868799872,3.2
-3.868599872,4.8
-3.868399872,5.6
-3.868199872,6.4
-3.867999872,6.4
-3.867799872,6.4
-3.867599872,7.2
-3.867399872,7.2
-3.867199872,7.2
-3.866999872,7.2
-3.866799872,6.4
-3.866599872,6.4
-3.866399872,6.4
-3.866199872,4.8
-3.865999872,4.8
-3.865799872,4
-3.865599872,3.2
-3.865399872,3.2
-3.865199872,3.2
-3.864999872,2.4
-3.864799872,0.8
-3.864599872,0.8
-3.864399872,0.8
-3.864199872,0.8
-3.863999872,0
-3.863799872,0
-3.863599872,0
-3.863399872,0
-3.863199872,-0.8
-3.862999872,0
-3.862799872,0
-3.862599872,0
-3.862399872,0
-3.862199872,0
-3.861999872,0
-3.861799872,0
-3.861599872,0
-3.861399872,0
-3.861199872,0
-3.860999872,0
-3.860799872,-0.8
-3.860599872,0
-3.860399872,0
-3.860199872,0.8
-3.859999872,0
-3.859799872,0
-3.859599872,0
-3.859399872,0
-3.859199872,0
-3.858999872,-0.8
-3.858799872,-0.8
-3.858599872,-0.8
-3.858399872,-0.8
-3.858199872,-0.8
-3.857999872,0
-3.857799872,0
-3.857599872,0
-3.857399872,0
-3.857199872,0
-3.856999872,0
-3.856799872,0
-3.856599872,0
-3.856399872,-0.8
-3.856199872,-0.8
-3.855999872,-0.8
-3.855799872,0
-3.855599872,0
-3.855399872,0
-3.855199872,0
-3.854999872,0
-3.854799872,0
-3.854599872,0
-3.854399872,0
-3.854199872,0
-3.853999872,0
-3.853799872,0
-3.853599872,0
-3.853399872,0
-3.853199872,0.8
-3.852999872,0
-3.852799872,1.6
-3.852599872,0.8
-3.852399872,2.4
-3.852199872,1.6
-3.851999872,2.4
-3.851799872,0.8
-3.851599872,2.4
-3.851399872,2.4
-3.851199872,2.4
-3.850999872,2.4
-3.850799872,2.4
-3.850599872,0.8
-3.850399872,1.6
-3.850199872,2.4
