Channel:Channel1
Capture Time:2025-01-14 13:44:02.378
Length:39400
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.94,0
-3.9398,0
-3.9396,0
-3.9394,0
-3.9392,1.6
-3.939,1.6
-3.9388,0.8
-3.9386,0.8
-3.9384,0.8
-3.9382,0.8
-3.938,0.8
-3.9378,0.8
-3.9376,0.8
-3.9374,1.6
-3.9372,1.6
-3.937,2.4
-3.9368,1.6
-3.9366,2.4
-3.9364,1.6
-3.9362,2.4
-3.936,1.6
-3.9358,1.6
-3.9356,2.4
-3.9354,1.6
-3.9352,1.6
-3.935,1.6
-3.9348,1.6
-3.9346,1.6
-3.9344,1.6
-3.9342,1.6
-3.934,2.4
-3.9338,2.4
-3.9336,1.6
-3.9334,1.6
-3.9332,2.4
-3.933,2.4
-3.9328,1.6
-3.9326,1.6
-3.9324,1.6
-3.9322,1.6
-3.932,1.6
-3.9318,1.6
-3.9316,0.8
-3.9314,0.8
-3.9312,0.8
-3.931,0.8
-3.9308,0.8
-3.9306,0.8
-3.9304,0.8
-3.9302,0.8
-3.93,0.8
-3.9298,0.8
-3.9296,0
-3.9294,0
-3.9292,0
-3.929,0
-3.9288,0
-3.9286,0
-3.9284,0
-3.9282,0
-3.928,0
-3.9278,0
-3.9276,0
-3.9274,0
-3.9272,0
-3.927,-0.8
-3.9268,0
-3.9266,0
-3.9264,0
-3.9262,0
-3.926,-0.8
-3.9258,0
-3.9256,-0.8
-3.9254,0
-3.9252,-0.8
-3.925,-0.8
-3.9248,-0.8
-3.9246,-0.8
-3.9244,-0.8
-3.9242,-0.8
-3.924,-0.8
-3.9238,-0.8
-3.9236,-0.8
-3.9234,-0.8
-3.9232,-0.8
-3.923,-0.8
-3.9228,-0.8
-3.9226,-0.8
-3.9224,-0.8
-3.9222,0
-3.922,0
-3.9218,-0.8
-3.9216,-0.8
-3.9214,-0.8
-3.9212,0
-3.921,0
-3.9208,0
-3.9206,0
-3.9204,0
-3.9202,0
-3.92,0
-3.9198,0
-3.9196,0
-3.9194,0
-3.9192,0
-3.919,0
-3.9188,0.8
-3.9186,0.8
-3.9184,0.8
-3.9182,0.8
-3.918,0.8
-3.9178,0.8
-3.9176,1.6
-3.9174,1.6
-3.9172,0.8
-3.917,1.6
-3.9168,1.6
-3.9166,1.6
-3.9164,1.6
-3.9162,1.6
-3.916,2.4
-3.9158,2.4
-3.9156,2.4
-3.9154,2.4
-3.9152,1.6
-3.915,2.4
-3.9148,1.6
-3.9146,1.6
-3.9144,2.4
-3.9142,2.4
-3.914,2.4
-3.9138,1.6
-3.9136,2.4
-3.9134,2.4
-3.9132,1.6
-3.913,2.4
-3.9128,2.4
-3.9126,1.6
-3.9124,1.6
-3.9122,1.6
-3.912,1.6
-3.9118,1.6
-3.9116,0.8
-3.9114,1.6
-3.9112,0.8
-3.911,0.8
-3.9108,0.8
-3.9106,0.8
-3.9104,0.8
-3.9102,0.8
-3.91,0.8
-3.9098,0.8
-3.9096,0
-3.9094,0.8
-3.9092,0.8
-3.909,0
-3.9088,0
-3.9086,0
-3.9084,0
-3.9082,0
-3.908,0
-3.9078,0
-3.9076,0
-3.9074,0
-3.9072,0
-3.907,-1.6
-3.9068,-0.8
-3.9066,-0.8
-3.9064,-0.8
-3.9062,-0.8
-3.906,-0.8
-3.9058,-0.8
-3.9056,-0.8
-3.9054,0
-3.9052,-0.8
-3.905,-0.8
-3.9048,-1.6
-3.9046,-0.8
-3.9044,-1.6
-3.9042,-1.6
-3.904,-1.6
-3.9038,-0.8
-3.9036,-0.8
-3.9034,-0.8
-3.9032,-0.8
-3.903,-0.8
-3.9028,-0.8
-3.9026,-0.8
-3.9024,-0.8
-3.9022,-0.8
-3.902,-0.8
-3.9018,-0.8
-3.9016,-0.8
-3.9014,-0.8
-3.9012,0
-3.901,0
-3.9008,0
-3.9006,0
-3.9004,0
-3.9002,0
-3.9,14.4
-3.8998,25.6
-3.8996,27.2
-3.8994,34.4
-3.8992,36
-3.899,30.4
-3.8988,25.6
-3.8986,22.4
-3.8984,19.2
-3.8982,12.8
-3.898,3.2
-3.8978,-3.2
-3.8976,-6.4
-3.8974,-8
-3.8972,-8
-3.897,-9.6
-3.8968,-12
-3.8966,-12
-3.8964,-10.4
-3.8962,-9.6
-3.896,-8.8
-3.8958,-7.2
-3.8956,-6.4
-3.8954,-6.4
-3.8952,-5.6
-3.895,-5.6
-3.8948,-4
-3.8946,-3.2
-3.8944,-3.2
-3.8942,-2.4
-3.894,-1.6
-3.8938,-2.4
-3.8936,-2.4
-3.8934,-0.8
-3.8932,-1.6
-3.893,-0.8
-3.8928,0
-3.8926,0
-3.8924,0
-3.8922,0
-3.892,0
-3.8918,0
-3.8916,0
-3.8914,0
-3.8912,0
-3.891,0
-3.8908,0
-3.8906,0
-3.8904,0
-3.8902,0
-3.89,0
-3.8898,0
-3.8896,0
-3.8894,0
-3.8892,0
-3.889,0
-3.8888,0
-3.8886,0
-3.8884,0
-3.8882,0
-3.888,-0.8
-3.8878,-0.8
-3.8876,-0.8
-3.8874,-0.8
-3.8872,-1.6
-3.887,-0.8
-3.8868,-0.8
-3.8866,-0.8
-3.8864,-0.8
-3.8862,-1.6
-3.886,-0.8
-3.8858,-0.8
-3.8856,-0.8
-3.8854,-0.8
-3.8852,-0.8
-3.885,-0.8
-3.8848,-0.8
-3.8846,-1.6
-3.8844,-1.6
-3.8842,-0.8
-3.884,-1.6
-3.8838,-1.6
-3.8836,-1.6
-3.8834,-0.8
-3.8832,-0.8
-3.883,-0.8
-3.8828,-1.6
-3.8826,-0.8
-3.8824,-0.8
-3.8822,0
-3.882,0
-3.8818,0
-3.8816,0
-3.8814,0
-3.8812,0
-3.881,0
-3.8808,0
-3.8806,2.4
-3.8804,8.8
-3.8802,13.6
-3.88,16.8
-3.8798,19.2
-3.8796,20
-3.8794,19.2
-3.8792,19.2
-3.879,19.2
-3.8788,19.2
-3.8786,19.2
-3.8784,16
-3.8782,14.4
-3.878,10.4
-3.8778,8.8
-3.8776,5.6
-3.8774,3.2
-3.8772,0.8
-3.877,-0.8
-3.8768,-1.6
-3.8766,-1.6
-3.8764,-3.2
-3.8762,-3.2
-3.876,-3.2
-3.8758,-3.2
-3.8756,-3.2
-3.8754,-4
-3.8752,-4
-3.875,-4
-3.8748,-4
-3.8746,-3.2
-3.8744,-3.2
-3.8742,-2.4
-3.874,-1.6
-3.8738,-0.8
-3.8736,0
-3.8734,0.8
-3.8732,0.8
-3.873,2.4
-3.8728,3.2
-3.8726,3.2
-3.8724,4
-3.8722,5.6
-3.872,5.6
-3.8718,6.4
-3.8716,6.4
-3.8714,6.4
-3.8712,6.4
-3.871,6.4
-3.8708,6.4
-3.8706,5.6
-3.8704,4.8
-3.8702,4.8
-3.87,4
-3.8698,3.2
-3.8696,2.4
-3.8694,2.4
-3.8692,2.4
-3.869,0.8
-3.8688,0.8
-3.8686,0.8
-3.8684,0
-3.8682,0
-3.868,0
-3.8678,0
-3.8676,-0.8
-3.8674,0
-3.8672,0
-3.867,0
-3.8668,-0.8
-3.8666,-0.8
-3.8664,-0.8
-3.8662,0
-3.866,-0.8
-3.8658,0
-3.8656,0
-3.8654,-0.8
-3.8652,0
-3.865,-0.8
-3.8648,-0.8
-3.8646,0
-3.8644,0
-3.8642,-0.8
-3.864,-1.6
-3.8638,-0.8
-3.8636,-0.8
-3.8634,-0.8
-3.8632,-0.8
-3.863,0
-3.8628,-0.8
-3.8626,0
-3.8624,0
-3.8622,0
-3.862,0
-3.8618,0
-3.8616,0
-3.8614,-0.8
-3.8612,0
-3.861,0
-3.8608,0
-3.8606,0
-3.8604,0
-3.8602,0
-3.86,0
-3.8598,0
-3.8596,0
-3.8594,0
-3.8592,0
-3.859,0.8
